시설명,어른관람료,운영기관전화번호
여주박물관,0,031-887-3583
향토사료관,0,031-345-3666
철도박물관,2000,031-461-3610
경산시립박물관,0,053-804-7314
삼성현역사문화관,2000,053-804-7329
한얼문예박물관,0,033-345-0151
대한민국 술테마박물관,2000,063-290-3842
온양민속박물관,5000,041-542-6001
영인산산림박물관,0,041-538-1946
외암민속관,2000,041-536-8497
공세리성당박물관,0,041-533-8181
정린박물관,4000,041-549-4005
당림미술관,4000,041-543-6969
진안가위박물관,4000,063-432-3232
진안역사박물관,0,063-430-8085
용담호사진문화관,0,063-430-2325
수몰문화미술관,0,063-430-2325
화천민속박물관,0,033-440-2549
보은향토민속자료전시관,0,043-540-3898
솔향공원 소나무전시관,0,043-540-3774
옥천골미술관,0,063-650-1638
섬진강미술관,0,063-653-2296
순창장류박물관,0,063-650-1627
한신대학교박물관,0,031-379-0195
유엔군초전기념관,0,031-377-1625
호림박물관,4000,02-858-2500
서울대학교 박물관,0,02-880-5332
서울시립 남서울미술관,0,02-598-6247
서울대학교 미술관,3000,02-880-9504
윤봉길의사기념관,0,041-337-4108
한국고건축박물관,2000,041-337-5877
수덕사근역성보관,3000,041-337-2902
한국문인인장박물관,0,031-302-0591
한국토종씨앗박물관,1000,041-333-5613
부산대박물관,0,051-510-1838
범어사성보박물관,0,051-508-6139
오륜대한국순교자박물관,2000,051-583-2923
킴스아트필드미술관,0,051-517-6800
인하대학교박물관,0,032-860-8260
국제성서박물관,0,032-874-0385
불교사리박물관,0,032-875-2384
범패박물관,3000,032-886-0029
송암미술관,0,032-440-6770
인천어린이박물관,5000,032-432-5600
송암박두성기념관,0,032-876-3500
오죽헌/시립박물관,3000,033-660-3300
대관령박물관,1000,033-660-3300
강릉시립미술관,0,033-640-4271
오산리선사유적박물관,1000,033-670-2442
일현미술관,2000,033-670-8450
영양산촌박물관,0,054-680-5367
월정사 성보박물관,0,033-339-7000
고려궁박물관,0,033-336-1111
성호기념관,500,031-481-2574
최용신기념관,0,031-481-3040
안산향토사박물관,0,031-415-0041
안산어촌민속박물관,2000,032-886-2912
단원미술관,2000,031-481-0505
맥아트미술관,10000,032-888-6262
유리섬미술관,10000,032-888-6262
정문규미술관,0,032-881-2753
종이미술관,5000,032-887-0606
이풀실내정원,0,031-437-2525
영동군 난계국악박물관,2000,043-740-3886
충주고구려천문과학관,3000,043-842-3247
세계무술박물관,0,043-850-6733
충렬사유물전시관,0,043-850-7302
충주박물관,0,043-850-3927
조동리선사유적박물관,0,043-850-3991
충주과수과학관,0,043-850-3258
한국교통대학교 박물관,0,043-841-5696
세계술문화박물관,5000,043-855-7333
관아갤러리,0,043-850-3911
성마루미술관,0,043-853-1883
외솔기념관,0,052-290-4828
고은사진미술관,0,051-746-0055
최북미술관,0,063-320-5636
반디랜드 곤충박물관,5000,063-324-1188
철박물관,0,043-883-2321
한독의약박물관,0,043-530-1004
순천시립뿌리깊은나무박물관,1000,061-749-8858
순천시기독교역사박물관,0,061-749-4532
고암 이응노생가 기념관,1000,041-630-9232
결성농요농사박물관,0,041-642-1993
홍주성 역사관,0,041-630-9240
한국식기박물관,0,041-642-3833
대담,0,061-381-0082
보임쉔,0,061-383-6473
나야나,0,061-380-0080
담양우표,0,061-383-3863
미암,0,061-381-1239
속초시박물관,2000,033-639-2978
부산광역시립미술관,0,051-744-2602
부산현대미술관,0,051-220-7400
안성맞춤박물관,0,031-676-4352
안성3.1운동기념관,0,031-678-2507
조병화문학관,3000,031-674-0307
DIMA MOA,0,031-670-6938
경기여고경운박물관,2000,02-3463-1336
세계골프역사박물관,5000,02-2192-3005
코리아나 화장박물관,4000,031-722-7000
도산안창호기념관,0,02-541-1800
관세박물관,0,02-510-1082
탄허기념박물관,0,02-445-8486
호림박물관 신사분관,8000,02-858-2500
포스코미술관,0,02-3457-1665
코리아나미술관,4000,031-722-7000
밀알미술관,0,02-3412-0061
피규어뮤지엄W,15000,070-7404-2240
K현대미술관,15000,02-2138-0952
안상철미술관,3000,031-874-0734
필룩스조명박물관,5000,070-7780-8911
양주시립장욱진미술관,5000,031-8082-4245
가나아트파크,8000,031-877-0500
울진봉평신라비전시관,0,054-789-5460
향암미술관,3000,054-787-0001
제천유물전시관,3000,043-641-5532
제천의병전시관,0,043-641-4808
국제한방발효박물관,0,043-653-9550
지적박물관,5000,043-651-5115
부평역사박물관,0,032-515-6471
진천종박물관,1500,043-539-3847
진천군립생거판화미술관,1500,043-539-3607
화폐박물관,3000,031-949-6592
기산미술관,4000,031-943-8232
블루메미술관,3000,031-944-6324
미메시스아트뮤지엄,3000,031-955-4100
아트센터화이트블럭,2000,031-992-4400
피노키오뮤지엄,8000,031-8035-6773
벽봉한국장신구박물관,5000,031-949-0848
영집궁시전시관,3000,031-944-6800
파주나비나라박물관,4000,031-955-3727
한국근현대사박물관,7000,031-957-1125
한길책박물관,6000,031-949-9786
세계민속악기박물관,5000,031-946-9838
두루뫼사료관,5000,031-958-6101
한향림옹기박물관,3000,070-4161-7271
세계인형박물관,5000,031-947-2575
타임앤블레이드박물관,6000,031-949-5675
함안박물관,0,055-580-3905
함안박물관,0,055-580-3905
함안박물관,0,055-580-3905
함안박물관,0,055-580-3905
한양여자대학교 미술관,0,02-2290-2506
헬로우뮤지움 동네미술관,5000,02-562-4420
한양대학교 박물관,0,02-2220-1394
수도박물관,0,02-3146-5921
청계천박물관,0,02-2286-3410
충현박물관,3500,02-898-0505
극재미술관,0,053-620-2381
태백고생대자연사박물관,2000,033-581-3131
태백석탄박물관,0,033-552-7720
고남패총박물관,1200,041-670-5617
보성군립백민미술관,0,061-853-0003
한국차박물관,1000,061-852-0918
함양박물관,0,055-960-5532
박물관수,5000,053-744-5500
대구은행금융박물관,0,053-740-2061
국립대구박물관,0,053-768-6051
증평민속체험박물관,0,043-835-4161
