시설명,어른관람료,운영기관전화번호,분류
한양대학교박물관,0,02-2220-1394,대학
홍익대학교  박물관,0,02-320-1323,대학
동덕여자대학교박물관,0,02-940-4232,대학
겸재정선미술관,1000,02-2659-2206,일반
서울시립미술관,0,02-2124-8800,일반
남서울미술관,0,02-598-6245,일반
성북구립미술관,2000,02-6925-5011,일반
종로구립 박노수미술관,3000,02-2148-4171,일반
서울과학기술대학교 미술관,0,02-970-6215,대학
서울대학교 미술관,3000,02-880-9504,대학
숙명여자대학교 문신미술관,0,02-2077-7052,대학
인덕대학교 아정미술관,0,02-950-7331,대학
한양여자대학교 미술관,0,02-2290-2543,대학
(재)한원미술관,0,02-588-5642,일반
63아트미술관,12000,02-780-6382,일반
JCC아트센터,10000,02-2183-7373,일반
K현대미술관,15000,02-2138-0952,일반
OCI미술관,0,02-734-0440,일반
김세중미술관,0,02-717-5129,일반
금호미술관,3000,02-720-5114,일반
대림미술관,5000,02-720-0667,일반
밀알미술관,0,02-3412-0061,일반
사비나미술관,3000,02-736-4371,일반
삼성미술관 Leeum,10000,02-2014-6900,일반
상원미술관,1000,02-396-3185,일반
성곡미술관,10000,02-737-7650,일반
세종문화회관 미술관(세종미술관),10000,02-399-1156,일반
세화미술관,0,02-2002-7786,일반
소마미술관,3000,02-425-1077,일반
아라리오뮤지엄 인 스페이스,10000,02-736-5700,일반
아르코미술관,0,02-760-4850,일반
아모레퍼시픽미술관,9000,02-6040-2345,일반
아트선재센터,5000,02-733-8949,일반
아트센터나비미술관,5000,02-2121-1031,일반
한가람미술관,10000,02-580-1300,일반
한가람디자인미술관,10000,02-580-1300,일반
예술의전당 서울서예박물관,5000,02-580-1300,일반
유리지공예관,0,02-578-6663,일반
일민미술관,4000,02-2020-2050,일반
자하미술관,2000,02-395-3222,일반
코리아나미술관,3000,02-547-9177,일반
토탈미술관,3000,02-379-7037,일반
포스코미술관,0,02-3457-1665,일반
학아재미술관,10000,02-766-7647,일반
한미사진미술관,6000,02-418-1315,일반
헬로우뮤지움,5000,02-3217-4222,일반
환기미술관,10000,02-391-7701,일반
동아대학교석당박물관,0,051-200-8493,대학
동아대학교석당박물관,0,051-200-8749,대학
포항시립미술관,0,054-270-4631,일반
영일민속박물관,0,054-270-5811,일반
수원광교박물관,2000,031-228-4175,일반
수원화성박물관,2000,031-228-4242,일반
수원박물관,2000,031-228-4150,일반
수원시립아이파크미술관,4000,031-228-3800,일반
청송민속박물관,0,054-870-6094,일반
군립청송야송미술관,0,054-872-6436,일반
청송수석꽃돌박물관,0,054-873-2400,일반
목포자연사박물관,3000,061-274-3655,일반
목포생활도자박물관,3000,061-270-8480,일반
사상생활사박물관,0,051-310-5136,일반
울주민속박물관,0,052-237-0855,일반
울산옹기박물관,0,052-237-7894,일반
울산해양박물관,5000,052-239-6708,일반
충렬공박제상기념관,0,052-229-9531,일반
철박물관,0,043-883-2321,일반
한독의약박물관,0,043-530-1004,일반
수양개선사유물전시관,2000,043-423-8502,일반
불교천태중앙박물관,0,043-423-9103,일반
청주고인쇄박물관,0,043-201-4262,일반
청주시립미술관,1000,043-201-2650,일반
충주고구려천문과학관,3000,043-842-3247,일반
세계무술박물관,0,043-850-6733,일반
충렬사유물전시관,0,043-850-7302,일반
충주박물관,0,043-850-3927,일반
조동리선사유적박물관,0,043-850-3991,일반
충주과수과학관,0,043-850-3258,일반
한국교통대학교 박물관,0,043-841-5696,대학
세계술문화박물관,5000,043-855-7333,일반
제천유물전시관,3000,043-641-5532,일반
제천의병전시관,0,043-641-4808,일반
국제한방발효박물관,0,043-653-9550,일반
지적박물관,5000,043-651-5115,일반
옥천향토전시관,0,043-730-3417,일반
영동군 난계국악박물관,2000,043-740-3886,일반
증평민속체험박물관,0,043-835-4161,일반
진천종박물관,1500,043-539-3847,일반
진천군립생거판화미술관,1500,043-539-3607,일반
농업역사박물관,0,043-830-2684,일반
보령박물관,0,041-930-4947,일반
보령석탄박물관,1500,041-934-1902,일반
모산조형미술관,0,041-933-8100,일반
반달미술관(여주세계생활도자관),0,031-884-8644,일반
여주산림박물관,0,031-887-2741,일반
목아박물관,5000,031-885-9952,일반
여성생활사박물관,5000,031-882-8100,일반
한얼테마박물관,5000,031-881-6316,일반
어우재미술관,2000,031-883-9080,일반
죽포미술관,0,031-881-5905,일반
곤충박물관,4000,031-885-1400,일반
성지박물관,5000,031-884-0118,일반
여주시립폰박물관,3000,031-887-3548,일반
명성황후기념관,1000,031-880-4022,일반
여주박물관,0,031-887-3583,일반
향토사료관,0,031-345-3666,일반
철도박물관,2000,031-461-3610,일반
경산시립박물관,0,053-804-7314,일반
삼성현역사문화관,2000,053-804-7329,일반
한얼문예박물관,0,033-345-0151,일반
대한민국 술테마박물관,2000,063-290-3842,일반
온양민속박물관,5000,041-542-6001,일반
영인산산림박물관,0,041-538-1946,일반
외암민속관,2000,041-536-8497,일반
공세리성당박물관,0,041-533-8181,일반
정린박물관,4000,041-549-4005,일반
당림미술관,4000,041-543-6969,일반
진안가위박물관,4000,063-432-3232,일반
진안역사박물관,0,063-430-8085,일반
용담호사진문화관,0,063-430-2325,일반
수몰문화미술관,0,063-430-2325,일반
화천민속박물관,0,033-440-2549,일반
보은향토민속자료전시관,0,043-540-3898,일반
솔향공원 소나무전시관,0,043-540-3774,일반
옥천골미술관,0,063-650-1638,일반
섬진강미술관,0,063-653-2296,일반
순창장류박물관,0,063-650-1627,일반
한신대학교박물관,0,031-379-0195,대학
유엔군초전기념관,0,031-377-1625,일반
호림박물관,4000,02-858-2500,일반
서울대학교 박물관,0,02-880-5332,대학
서울시립 남서울미술관,0,02-598-6247,일반
서울대학교 미술관,3000,02-880-9504,대학
윤봉길의사기념관,0,041-337-4108,일반
한국고건축박물관,2000,041-337-5877,일반
수덕사근역성보관,3000,041-337-2902,일반
한국문인인장박물관,0,031-302-0591,일반
한국토종씨앗박물관,1000,041-333-5613,일반
부산대박물관,0,051-510-1838,일반
범어사성보박물관,0,051-508-6139,일반
오륜대한국순교자박물관,2000,051-583-2923,일반
킴스아트필드미술관,0,051-517-6800,일반
인하대학교박물관,0,032-860-8260,대학
국제성서박물관,0,032-874-0385,일반
불교사리박물관,0,032-875-2384,일반
범패박물관,3000,032-886-0029,일반
송암미술관,0,032-440-6770,일반
인천어린이박물관,5000,032-432-5600,일반
송암박두성기념관,0,032-876-3500,일반
오죽헌/시립박물관,3000,033-660-3300,일반
대관령박물관,1000,033-660-3300,일반
강릉시립미술관,0,033-640-4271,일반
오산리선사유적박물관,1000,033-670-2442,일반
일현미술관,2000,033-670-8450,일반
영양산촌박물관,0,054-680-5367,일반
월정사 성보박물관,0,033-339-7000,일반
고려궁박물관,0,033-336-1111,일반
성호기념관,500,031-481-2574,일반
최용신기념관,0,031-481-3040,일반
안산향토사박물관,0,031-415-0041,일반
안산어촌민속박물관,2000,032-886-2912,일반
단원미술관,2000,031-481-0505,일반
맥아트미술관,10000,032-888-6262,일반
유리섬미술관,10000,032-888-6262,일반
정문규미술관,0,032-881-2753,일반
종이미술관,5000,032-887-0606,일반
이풀실내정원,0,031-437-2525,일반
영동군 난계국악박물관,2000,043-740-3886,일반
충주고구려천문과학관,3000,043-842-3247,일반
세계무술박물관,0,043-850-6733,일반
충렬사유물전시관,0,043-850-7302,일반
충주박물관,0,043-850-3927,일반
조동리선사유적박물관,0,043-850-3991,일반
충주과수과학관,0,043-850-3258,일반
한국교통대학교 박물관,0,043-841-5696,대학
세계술문화박물관,5000,043-855-7333,일반
관아갤러리,0,043-850-3911,일반
성마루미술관,0,043-853-1883,일반
외솔기념관,0,052-290-4828,일반
고은사진미술관,0,051-746-0055,일반
최북미술관,0,063-320-5636,일반
반디랜드 곤충박물관,5000,063-324-1188,일반
철박물관,0,043-883-2321,일반
한독의약박물관,0,043-530-1004,일반
순천시립뿌리깊은나무박물관,1000,061-749-8858,일반
순천시기독교역사박물관,0,061-749-4532,일반
고암 이응노생가 기념관,1000,041-630-9232,일반
결성농요농사박물관,0,041-642-1993,일반
홍주성 역사관,0,041-630-9240,일반
한국식기박물관,0,041-642-3833,일반
대담,0,061-381-0082,일반
보임쉔,0,061-383-6473,일반
나야나,0,061-380-0080,일반
담양우표,0,061-383-3863,일반
미암,0,061-381-1239,일반
속초시박물관,2000,033-639-2978,일반
부산광역시립미술관,0,051-744-2602,일반
부산현대미술관,0,051-220-7400,일반
안성맞춤박물관,0,031-676-4352,일반
안성3.1운동기념관,0,031-678-2507,일반
조병화문학관,3000,031-674-0307,일반
DIMA MOA,0,031-670-6938,일반
경기여고경운박물관,2000,02-3463-1336,일반
세계골프역사박물관,5000,02-2192-3005,일반
코리아나 화장박물관,4000,031-722-7000,일반
도산안창호기념관,0,02-541-1800,일반
관세박물관,0,02-510-1082,일반
탄허기념박물관,0,02-445-8486,일반
호림박물관 신사분관,8000,02-858-2500,일반
포스코미술관,0,02-3457-1665,일반
코리아나미술관,4000,031-722-7000,일반
밀알미술관,0,02-3412-0061,일반
피규어뮤지엄W,15000,070-7404-2240,일반
K현대미술관,15000,02-2138-0952,일반
안상철미술관,3000,031-874-0734,일반
필룩스조명박물관,5000,070-7780-8911,일반
양주시립장욱진미술관,5000,031-8082-4245,일반
가나아트파크,8000,031-877-0500,일반
울진봉평신라비전시관,0,054-789-5460,일반
향암미술관,3000,054-787-0001,일반
제천유물전시관,3000,043-641-5532,일반
제천의병전시관,0,043-641-4808,일반
국제한방발효박물관,0,043-653-9550,일반
지적박물관,5000,043-651-5115,일반
부평역사박물관,0,032-515-6471,일반
진천종박물관,1500,043-539-3847,일반
진천군립생거판화미술관,1500,043-539-3607,일반
화폐박물관,3000,031-949-6592,일반
기산미술관,4000,031-943-8232,일반
블루메미술관,3000,031-944-6324,일반
미메시스아트뮤지엄,3000,031-955-4100,일반
아트센터화이트블럭,2000,031-992-4400,일반
피노키오뮤지엄,8000,031-8035-6773,일반
벽봉한국장신구박물관,5000,031-949-0848,일반
영집궁시전시관,3000,031-944-6800,일반
파주나비나라박물관,4000,031-955-3727,일반
한국근현대사박물관,7000,031-957-1125,일반
한길책박물관,6000,031-949-9786,일반
세계민속악기박물관,5000,031-946-9838,일반
두루뫼사료관,5000,031-958-6101,일반
한향림옹기박물관,3000,070-4161-7271,일반
세계인형박물관,5000,031-947-2575,일반
타임앤블레이드박물관,6000,031-949-5675,일반
함안박물관,0,055-580-3905,일반
함안박물관,0,055-580-3905,일반
함안박물관,0,055-580-3905,일반
함안박물관,0,055-580-3905,일반
한양여자대학교 미술관,0,02-2290-2506,대학
헬로우뮤지움 동네미술관,5000,02-562-4420,일반
한양대학교 박물관,0,02-2220-1394,대학
수도박물관,0,02-3146-5921,일반
청계천박물관,0,02-2286-3410,일반
충현박물관,3500,02-898-0505,일반
극재미술관,0,053-620-2381,일반
태백고생대자연사박물관,2000,033-581-3131,일반
태백석탄박물관,0,033-552-7720,일반
고남패총박물관,1200,041-670-5617,일반
보성군립백민미술관,0,061-853-0003,일반
한국차박물관,1000,061-852-0918,일반
함양박물관,0,055-960-5532,일반
박물관수,5000,053-744-5500,일반
대구은행금융박물관,0,053-740-2061,일반
국립대구박물관,0,053-768-6051,일반
증평민속체험박물관,0,043-835-4161,일반
